Date,Close,Diff,Binary
2016-11-01,59.8,,0
2016-11-02,59.43,-0.37,0
2016-11-03,59.21,-0.22,0
2016-11-04,58.71,-0.5,0
2016-11-07,60.42,1.71,4
2016-11-08,60.47,0.05,4
2016-11-09,60.17,-0.3,0
2016-11-10,58.7,-1.47,0
2016-11-11,59.02,0.32,4
2016-11-14,58.12,-0.9,0
2016-11-15,58.87,0.75,4
2016-11-16,59.65,0.78,4
2016-11-17,60.64,0.99,4
2016-11-18,60.35,-0.29,0
2016-11-21,60.86,0.51,4
2016-11-22,61.12,0.26,4
2016-11-23,60.4,-0.72,0
2016-11-25,60.53,0.13,4
2016-11-28,60.61,0.08,4
2016-11-29,61.09,0.48,4
2016-11-30,60.26,-0.83,0
2016-12-01,59.2,-1.06,0
2016-12-02,59.25,0.05,4
2016-12-05,60.22,0.97,4
2016-12-06,59.95,-0.27,0
2016-12-07,61.37,1.42,4
2016-12-08,61.01,-0.36,0
2016-12-09,61.97,0.96,4
2016-12-12,62.17,0.2,4
2016-12-13,62.98,0.81,4
2016-12-14,62.68,-0.3,0
2016-12-15,62.58,-0.1,0
2016-12-16,62.3,-0.28,0
2016-12-19,63.62,1.32,4
2016-12-20,63.54,-0.08,0
2016-12-21,63.54,0.0,0
2016-12-22,63.55,0.01,4
2016-12-23,63.24,-0.31,0
2016-12-27,63.28,0.04,4
2016-12-28,62.99,-0.29,0
2016-12-29,62.9,-0.09,0
2016-12-30,62.14,-0.76,0
2017-01-03,62.58,0.44,4
2017-01-04,62.3,-0.28,0
2017-01-05,62.3,0.0,0
2017-01-06,62.84,0.54,4
2017-01-09,62.64,-0.2,0
2017-01-10,62.62,-0.02,0
2017-01-11,63.19,0.57,4
2017-01-12,62.61,-0.58,0
2017-01-13,62.7,0.09,4
2017-01-17,62.53,-0.17,0
2017-01-18,62.5,-0.03,0
2017-01-19,62.3,-0.2,0
2017-01-20,62.74,0.44,4
2017-01-23,62.96,0.22,4
2017-01-24,63.52,0.56,4
2017-01-25,63.68,0.16,4
2017-01-26,64.27,0.59,4
2017-01-27,65.78,1.51,4
2017-01-30,65.13,-0.65,0
2017-01-31,64.65,-0.48,0
2017-02-01,63.58,-1.07,0
2017-02-02,63.17,-0.41,0
2017-02-03,63.68,0.51,4
2017-02-06,63.64,-0.04,0
2017-02-07,63.43,-0.21,0
2017-02-08,63.34,-0.09,0
2017-02-09,64.06,0.72,4
2017-02-10,64.0,-0.06,0
2017-02-13,64.72,0.72,4
2017-02-14,64.57,-0.15,0
2017-02-15,64.53,-0.04,0
2017-02-16,64.52,-0.01,0
2017-02-17,64.62,0.1,4
2017-02-21,64.49,-0.13,0
2017-02-22,64.36,-0.13,0
2017-02-23,64.62,0.26,4
2017-02-24,64.62,0.0,0
2017-02-27,64.23,-0.39,0
2017-02-28,63.98,-0.25,0
2017-03-01,64.94,0.96,4
2017-03-02,64.01,-0.93,0
2017-03-03,64.25,0.24,4
2017-03-06,64.27,0.02,4
2017-03-07,64.4,0.13,4
2017-03-08,64.99,0.59,4
2017-03-09,64.73,-0.26,0
2017-03-10,64.93,0.2,4
2017-03-13,64.71,-0.22,0
2017-03-14,64.41,-0.3,0
2017-03-15,64.75,0.34,4
2017-03-16,64.64,-0.11,0
2017-03-17,64.87,0.23,4
2017-03-20,64.93,0.06,4
2017-03-21,64.21,-0.72,0
2017-03-22,65.03,0.82,4
2017-03-23,64.87,-0.16,0
2017-03-24,64.98,0.11,4
2017-03-27,65.1,0.12,4
2017-03-28,65.29,0.19,4
2017-03-29,65.47,0.18,4
2017-03-30,65.71,0.24,4
2017-03-31,65.86,0.15,4
2017-04-03,65.55,-0.31,0
2017-04-04,65.73,0.18,4
2017-04-05,65.56,-0.17,0
2017-04-06,65.73,0.17,4
2017-04-07,65.68,-0.05,0
2017-04-10,65.53,-0.15,0
2017-04-11,65.48,-0.05,0
2017-04-12,65.23,-0.25,0
2017-04-13,64.95,-0.28,0
2017-04-17,65.48,0.53,4
2017-04-18,65.39,-0.09,0
2017-04-19,65.04,-0.35,0
2017-04-20,65.5,0.46,4
2017-04-21,66.4,0.9,4
2017-04-24,67.53,1.13,4
2017-04-25,67.92,0.39,4
2017-04-26,67.83,-0.09,0
2017-04-27,68.27,0.44,4
2017-04-28,68.46,0.19,4
