Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2016-11-01,56.91,304,50.00,240,41.01,178,30.65,124
2016-11-02,50.74,203,45.61,171,37.12,132,16.42,67
2016-11-03,53.47,202,48.24,170,37.98,129,14.75,61
2016-11-04,57.05,156,55.12,127,44.57,92,26.42,53
2016-11-05,76.67,30,80.00,25,78.95,19,83.33,6
2016-11-06,58.82,34,57.14,28,61.90,21,40.00,5
2016-11-07,58.68,167,55.88,136,45.63,103,33.33,45
2016-11-08,54.84,155,50.00,116,38.37,86,24.39,41
2016-11-09,54.08,196,47.77,157,40.00,115,18.97,58
2016-11-10,59.71,417,56.80,331,44.89,225,23.42,111
2016-11-11,60.85,212,55.81,172,44.64,112,23.21,56
2016-11-12,66.67,33,65.38,26,57.89,19,40.00,5
2016-11-13,72.00,25,76.47,17,71.43,14,33.33,3
2016-11-14,64.98,217,60.89,179,56.03,141,28.57,63
2016-11-15,61.64,159,58.73,126,50.00,82,28.21,39
2016-11-16,60.95,169,53.08,130,45.05,91,33.33,48
2016-11-17,70.00,240,69.15,201,62.31,130,48.28,58
2016-11-18,75.71,210,75.00,176,71.43,133,69.74,76
2016-11-19,81.82,22,83.33,18,80.00,15,66.67,3
2016-11-20,78.95,19,73.33,15,66.67,12,0.00,1
2016-11-21,74.73,186,76.62,154,73.33,120,69.09,55
2016-11-22,72.99,137,71.30,115,68.24,85,70.59,34
2016-11-23,58.59,99,56.96,79,44.44,54,20.00,25
2016-11-24,53.33,15,53.85,13,40.00,10,0.00,4
2016-11-25,60.00,45,57.89,38,51.52,33,42.86,21
2016-11-26,58.33,36,62.07,29,57.14,21,22.22,9
2016-11-27,70.83,24,76.19,21,75.00,16,100.00,5
2016-11-28,61.95,113,62.35,85,53.12,64,41.38,29
2016-11-29,70.21,141,68.97,116,61.45,83,43.90,41
2016-11-30,73.04,204,70.83,168,64.52,124,48.94,47
2016-12-01,62.14,206,61.85,173,52.07,121,35.71,56
2016-12-02,72.26,328,67.79,267,59.68,186,54.72,106
2016-12-03,73.58,53,70.73,41,66.67,36,50.00,24
2016-12-04,80.65,31,85.71,21,81.25,16,100.00,5
2016-12-05,67.95,234,64.62,195,58.16,141,39.39,66
2016-12-06,71.17,607,69.09,508,63.56,365,57.01,221
2016-12-07,72.18,284,71.60,243,64.63,164,54.65,86
2016-12-08,65.22,253,62.20,209,51.70,147,35.94,64
2016-12-09,66.46,158,62.90,124,57.32,82,67.57,37
2016-12-10,76.92,26,86.96,23,94.12,17,100.00,4
2016-12-11,65.79,38,70.00,30,72.22,18,50.00,8
2016-12-12,69.31,101,70.11,87,67.19,64,50.00,28
2016-12-13,72.52,131,70.18,114,67.42,89,64.71,51
2016-12-14,58.94,151,57.58,132,51.92,104,33.33,54
2016-12-15,67.90,352,65.17,290,55.28,199,45.00,120
2016-12-16,58.93,168,56.43,140,47.17,106,21.82,55
2016-12-17,67.65,34,65.52,29,69.57,23,44.44,9
2016-12-18,78.12,32,79.17,24,80.00,15,0.00,1
2016-12-19,64.52,186,62.42,165,53.28,122,39.39,66
2016-12-20,60.71,84,56.94,72,50.00,58,31.25,32
2016-12-21,59.53,257,55.40,213,49.09,165,33.67,98
2016-12-22,64.36,101,61.45,83,55.93,59,38.46,26
2016-12-23,55.42,83,51.47,68,43.10,58,20.69,29
2016-12-24,60.53,38,66.67,30,56.52,23,10.00,10
2016-12-25,75.00,20,81.82,11,81.82,11,50.00,4
2016-12-26,70.37,27,80.95,21,77.78,18,0.00,3
2016-12-27,64.57,175,61.22,147,56.52,115,50.00,52
2016-12-28,57.02,121,52.43,103,45.95,74,32.26,31
2016-12-29,61.54,104,52.00,75,41.51,53,16.67,24
2016-12-30,54.14,133,52.25,111,40.96,83,20.83,48
2016-12-31,68.97,29,62.50,24,57.89,19,27.27,11
2017-01-01,80.00,20,78.95,19,78.57,14,33.33,3
2017-01-02,75.68,37,75.86,29,68.18,22,33.33,6
2017-01-03,65.24,164,63.16,133,52.53,99,29.79,47
2017-01-04,62.69,260,61.64,232,54.44,180,40.54,111
2017-01-05,63.74,353,61.32,318,56.91,246,46.21,145
2017-01-06,73.16,339,70.49,288,64.15,212,51.75,114
2017-01-07,69.05,42,69.70,33,67.86,28,45.45,11
2017-01-08,91.67,36,90.32,31,95.45,22,100.00,2
2017-01-09,63.19,163,61.81,144,55.56,108,31.58,57
2017-01-10,54.55,198,52.41,166,38.98,118,17.46,63
2017-01-11,60.12,173,58.28,151,56.30,119,31.15,61
2017-01-12,67.71,223,64.97,177,60.32,126,31.37,51
2017-01-13,69.07,375,66.46,319,60.34,237,45.45,110
2017-01-14,75.24,105,74.16,89,70.42,71,50.00,28
2017-01-15,79.49,78,82.09,67,81.25,48,55.56,9
2017-01-16,78.48,79,78.79,66,80.77,52,60.00,15
2017-01-17,74.82,421,73.41,361,67.83,258,54.17,120
2017-01-18,74.30,1786,73.06,1492,66.07,1014,60.11,564
2017-01-19,68.50,1565,64.81,1236,56.40,851,51.40,430
2017-01-20,56.25,384,51.59,314,45.53,246,33.33,150
2017-01-21,60.53,38,59.38,32,61.54,26,45.45,11
2017-01-22,72.97,37,80.65,31,80.00,25,66.67,6
2017-01-23,49.55,222,47.72,197,39.10,156,19.80,101
2017-01-24,68.00,250,66.22,225,58.82,170,52.14,117
2017-01-25,65.02,223,61.54,182,53.79,145,48.19,83
2017-01-26,57.89,152,52.27,132,42.72,103,26.09,69
2017-01-27,75.79,285,74.15,236,70.39,179,64.08,103
2017-01-28,79.55,44,80.00,35,79.31,29,54.55,11
2017-01-29,67.39,46,67.44,43,57.58,33,27.78,18
2017-01-30,59.73,149,56.20,121,49.46,93,29.82,57
2017-01-31,52.42,124,51.43,105,46.43,84,38.33,60
2017-02-01,64.38,160,62.96,135,57.84,102,46.77,62
2017-02-02,65.42,107,62.22,90,53.85,65,39.29,28
2017-02-03,65.32,124,63.30,109,55.29,85,43.40,53
2017-02-04,94.44,18,93.75,16,90.91,11,75.00,4
2017-02-05,72.22,18,76.92,13,70.00,10,100.00,4
2017-02-06,70.21,94,72.84,81,69.23,65,51.85,27
2017-02-07,77.23,347,75.82,306,68.87,212,63.08,130
2017-02-08,68.00,375,66.56,320,62.08,240,57.25,131
2017-02-09,51.43,280,50.21,243,38.20,178,23.89,113
2017-02-10,60.09,228,56.99,193,48.30,147,36.17,94
2017-02-11,67.86,56,63.83,47,42.86,28,29.41,17
2017-02-12,61.22,49,59.52,42,44.00,25,11.11,9
2017-02-13,54.15,229,52.26,199,36.88,141,21.98,91
2017-02-14,56.31,222,51.08,186,35.82,134,16.05,81
2017-02-15,63.06,157,62.50,136,53.47,101,38.33,60
2017-02-16,45.92,98,44.57,92,39.74,78,13.64,44
2017-02-17,57.03,128,55.36,112,44.32,88,20.75,53
2017-02-18,56.00,25,54.55,22,33.33,12,50.00,4
2017-02-19,82.86,35,86.67,30,80.00,20,80.00,5
2017-02-20,84.38,32,81.48,27,76.19,21,37.50,8
2017-02-21,60.61,99,59.55,89,50.75,67,42.22,45
2017-02-22,70.32,155,69.06,139,65.42,107,47.17,53
2017-02-23,59.52,126,58.33,108,48.15,81,21.21,33
2017-02-24,52.14,117,50.00,98,37.50,72,30.23,43
2017-02-25,86.36,22,85.00,20,72.73,11,66.67,6
2017-02-26,47.37,19,43.75,16,30.00,10,0.00,4
2017-02-27,54.17,96,52.50,80,45.31,64,18.75,32
2017-02-28,54.12,85,54.93,71,44.44,54,32.35,34
2017-03-01,59.46,111,57.89,95,51.85,81,42.86,56
Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0,Bull,Tot_bull
2017-03-02,44.53,265,40.35,228,27.03,185,14.06,128
2017-03-03,48.35,182,44.16,154,29.82,114,17.28,81
2017-03-04,55.00,20,55.56,18,50.00,12,40.00,5
2017-03-05,60.87,23,57.14,21,56.25,16,0.00,5
2017-03-06,56.27,295,53.01,249,42.62,183,23.66,93
2017-03-07,59.18,147,55.56,126,48.98,98,31.03,58
2017-03-08,52.73,110,49.49,99,37.50,72,20.83,48
2017-03-09,51.67,120,50.48,105,30.00,70,16.67,48
2017-03-10,64.58,96,64.37,87,53.33,60,41.67,36
2017-03-11,52.17,23,52.94,17,46.15,13,75.00,4
2017-03-12,84.21,19,87.50,16,80.00,10,50.00,4
2017-03-13,80.31,127,80.19,106,76.32,76,62.79,43
2017-03-14,66.07,112,61.11,90,50.77,65,31.03,29
2017-03-15,72.32,224,72.78,180,68.18,132,62.50,64
2017-03-16,65.82,196,61.59,164,57.94,126,44.62,65
2017-03-17,63.87,238,61.58,190,51.11,135,44.29,70
2017-03-18,83.33,30,81.48,27,84.21,19,88.89,9
2017-03-19,75.00,24,72.73,22,64.71,17,33.33,9
2017-03-20,76.29,97,74.07,81,68.33,60,48.28,29
2017-03-21,61.88,181,61.90,147,55.08,118,36.51,63
2017-03-22,69.30,114,68.75,96,66.20,71,60.53,38
2017-03-23,63.27,98,63.53,85,59.09,66,56.67,30
2017-03-24,53.75,80,52.63,76,42.37,59,13.33,30
2017-03-25,66.67,18,68.75,16,62.50,8,0.00,2
2017-03-26,76.19,21,70.59,17,66.67,15,25.00,4
