Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,72.37,304,68.75,208,59.63,109
2016-11-02,64.53,203,60.26,156,52.69,93
2016-11-03,64.85,202,59.62,156,47.96,98
2016-11-04,71.15,156,71.93,114,63.49,63
2016-11-05,73.33,30,76.00,25,68.75,16
2016-11-06,58.82,34,59.26,27,65.00,20
2016-11-07,65.27,167,63.08,130,50.00,80
2016-11-08,67.10,155,64.42,104,52.54,59
2016-11-09,67.35,196,64.08,142,59.21,76
2016-11-10,72.90,417,72.15,298,61.18,152
2016-11-11,71.70,212,68.99,158,58.67,75
2016-11-12,75.76,33,76.00,25,68.75,16
2016-11-13,76.00,25,82.35,17,76.92,13
2016-11-14,77.88,217,76.07,163,74.53,106
2016-11-15,74.21,159,73.91,115,70.00,60
2016-11-16,71.01,169,65.52,116,54.39,57
2016-11-17,76.67,240,77.89,190,72.73,88
2016-11-18,79.05,210,79.75,163,77.08,96
2016-11-19,86.36,22,88.89,18,86.67,15
2016-11-20,84.21,19,80.00,15,72.73,11
2016-11-21,78.49,186,80.14,141,77.11,83
2016-11-22,75.91,137,74.04,104,68.85,61
2016-11-23,70.71,99,70.27,74,60.98,41
2016-11-24,60.00,15,61.54,13,55.56,9
2016-11-25,75.56,45,76.47,34,61.90,21
2016-11-26,69.44,36,76.92,26,75.00,16
2016-11-27,62.50,24,66.67,21,64.29,14
2016-11-28,68.14,113,71.79,78,62.00,50
2016-11-29,79.43,141,78.90,109,73.33,60
2016-11-30,80.39,204,80.89,157,76.29,97
2016-12-01,72.82,206,72.90,155,65.12,86
2016-12-02,79.57,328,75.93,241,63.56,118
2016-12-03,88.68,53,89.19,37,82.61,23
2016-12-04,74.19,31,76.19,21,71.43,14
2016-12-05,79.49,234,78.45,181,74.77,107
2016-12-06,80.56,607,79.87,457,74.55,224
2016-12-07,80.99,284,82.03,217,77.98,109
2016-12-08,77.47,253,76.17,193,66.35,104
2016-12-09,67.09,158,62.61,115,53.12,64
2016-12-10,73.08,26,86.36,22,93.75,16
2016-12-11,71.05,38,79.31,29,85.71,14
2016-12-12,75.25,101,76.62,77,77.08,48
2016-12-13,78.63,131,77.78,99,74.58,59
2016-12-14,72.85,151,72.22,108,67.19,64
2016-12-15,78.98,352,80.08,256,72.18,133
2016-12-16,74.40,168,75.00,120,72.31,65
2016-12-17,73.53,34,68.00,25,73.68,19
2016-12-18,81.25,32,83.33,24,85.71,14
2016-12-19,76.34,186,77.78,144,67.53,77
2016-12-20,76.19,84,71.67,60,66.67,39
2016-12-21,72.37,257,70.98,193,65.74,108
2016-12-22,70.30,101,68.42,76,65.12,43
2016-12-23,73.49,83,73.44,64,63.89,36
2016-12-24,71.05,38,81.48,27,77.78,18
2016-12-25,80.00,20,90.00,10,90.00,10
2016-12-26,74.07,27,85.00,20,93.33,15
2016-12-27,72.57,175,68.38,136,62.50,80
2016-12-28,68.60,121,65.66,99,58.18,55
2016-12-29,74.04,104,68.06,72,54.05,37
2016-12-30,71.43,133,74.29,105,64.29,56
2016-12-31,79.31,29,80.00,20,76.92,13
2017-01-01,85.00,20,88.89,18,91.67,12
2017-01-02,81.08,37,82.14,28,73.68,19
2017-01-03,76.83,164,78.23,124,68.57,70
2017-01-04,76.92,260,78.64,206,72.57,113
2017-01-05,77.05,353,75.09,285,73.21,168
2017-01-06,82.60,339,80.60,268,75.50,151
2017-01-07,80.95,42,85.71,28,84.21,19
2017-01-08,91.67,36,90.32,31,95.24,21
2017-01-09,81.60,163,80.67,119,80.60,67
2017-01-10,73.74,198,76.51,149,63.38,71
2017-01-11,78.61,173,80.00,135,83.13,83
2017-01-12,78.48,223,79.01,162,78.95,95
2017-01-13,80.27,375,78.42,292,72.29,166
2017-01-14,81.90,105,82.50,80,77.36,53
2017-01-15,82.05,78,84.38,64,84.09,44
2017-01-16,81.01,79,82.81,64,84.78,46
2017-01-17,81.71,421,81.93,332,78.57,196
2017-01-18,80.63,1786,80.26,1368,73.11,673
2017-01-19,75.78,1565,72.93,1134,62.03,582
2017-01-20,71.88,384,69.42,278,63.58,151
2017-01-21,73.68,38,73.33,30,73.68,19
2017-01-22,72.97,37,79.31,29,77.27,22
2017-01-23,77.03,222,78.12,160,75.00,84
2017-01-24,83.20,250,83.85,192,77.53,89
2017-01-25,79.82,223,77.36,159,67.05,88
2017-01-26,78.29,152,74.56,114,69.09,55
2017-01-27,82.11,285,82.33,215,79.49,117
2017-01-28,90.91,44,93.94,33,95.65,23
2017-01-29,80.43,46,82.05,39,72.73,22
2017-01-30,79.19,149,82.24,107,84.48,58
2017-01-31,76.61,124,78.02,91,75.00,44
2017-02-01,76.88,160,76.86,121,70.49,61
2017-02-02,76.64,107,75.95,79,67.39,46
2017-02-03,81.45,124,82.11,95,73.91,46
2017-02-04,94.44,18,93.75,16,88.89,9
2017-02-05,72.22,18,75.00,12,50.00,6
2017-02-06,81.91,94,86.84,76,85.42,48
2017-02-07,84.44,347,84.06,276,77.69,130
2017-02-08,77.60,375,76.35,296,70.52,173
2017-02-09,72.14,280,74.30,214,60.00,100
2017-02-10,78.95,228,79.19,173,74.19,93
2017-02-11,78.57,56,74.42,43,50.00,16
2017-02-12,69.39,49,69.23,39,61.11,18
2017-02-13,72.93,229,74.58,177,61.45,83
2017-02-14,79.28,222,77.36,159,64.86,74
2017-02-15,76.43,157,77.50,120,69.57,69
2017-02-16,72.45,98,69.23,78,68.18,44
