Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,48.82,3679,39.96,2720,28.12,1942
2016-11-02,47.11,3795,38.68,2867,27.26,2032
2016-11-03,48.30,3551,37.05,2553,23.78,1741
2016-11-04,44.50,3090,35.42,2346,24.02,1665
2016-11-05,44.83,609,37.90,467,30.43,345
2016-11-06,44.13,571,38.60,443,27.51,309
2016-11-07,52.25,3225,46.80,2485,34.90,1659
2016-11-08,45.60,3349,39.23,2623,27.35,1773
2016-11-09,47.39,5020,40.29,3857,27.55,2632
2016-11-10,48.94,4095,42.16,3105,29.75,2101
2016-11-11,47.37,3097,38.83,2297,28.59,1581
2016-11-12,47.31,706,41.58,505,31.76,340
2016-11-13,47.81,571,43.56,427,38.05,297
2016-11-14,49.56,3444,42.97,2618,31.57,1739
2016-11-15,50.12,3657,44.40,2775,34.69,1871
2016-11-16,46.43,3388,40.00,2585,31.55,1851
2016-11-17,50.33,3505,43.78,2636,31.96,1749
2016-11-18,47.36,2781,40.12,2069,29.62,1438
2016-11-19,50.93,540,42.42,389,32.44,262
2016-11-20,50.27,553,42.62,420,33.10,287
2016-11-21,49.37,2872,42.99,2203,35.15,1562
2016-11-22,49.95,3029,42.87,2279,32.91,1577
2016-11-23,48.30,2710,41.06,2041,32.80,1445
2016-11-24,50.52,679,47.18,515,39.59,341
2016-11-25,53.75,1427,47.90,1069,39.30,715
2016-11-26,55.41,536,51.61,403,45.80,286
2016-11-27,48.63,586,41.16,447,34.64,306
2016-11-28,49.88,2903,43.61,2215,34.77,1550
2016-11-29,49.41,3230,44.10,2499,35.50,1800
2016-11-30,48.02,3736,41.06,2862,32.42,2042
2016-12-01,44.82,3898,37.39,2982,27.18,2101
2016-12-02,45.41,3072,37.66,2302,28.34,1694
2016-12-03,51.30,729,45.03,553,37.63,380
2016-12-04,51.09,552,45.52,413,38.91,275
2016-12-05,50.07,2992,43.69,2259,35.19,1614
2016-12-06,50.39,3618,44.69,2761,35.33,1899
2016-12-07,47.28,4086,40.97,3088,31.69,2149
2016-12-08,47.21,3978,40.20,3020,30.02,2115
2016-12-09,50.32,3402,42.97,2509,32.67,1720
2016-12-10,50.00,766,43.90,574,34.65,404
2016-12-11,53.94,571,51.40,428,45.70,291
2016-12-12,46.79,3276,39.47,2473,29.22,1728
2016-12-13,48.44,3693,41.27,2806,30.52,1917
2016-12-14,43.14,3521,36.03,2764,25.99,1989
2016-12-15,47.18,3529,40.49,2638,30.53,1841
2016-12-16,49.11,3081,42.26,2288,32.44,1538
2016-12-17,53.88,722,47.42,523,38.50,361
2016-12-18,55.60,518,51.36,368,44.31,246
2016-12-19,49.53,2562,42.56,1936,33.26,1356
2016-12-20,49.66,3065,42.91,2298,32.74,1573
2016-12-21,48.95,2774,42.76,2105,33.84,1457
2016-12-22,50.56,2591,43.96,1913,33.04,1235
2016-12-23,51.72,1864,45.53,1353,37.11,908
2016-12-24,51.78,535,45.61,399,34.93,272
2016-12-25,53.61,166,47.97,123,45.88,85
2016-12-26,53.78,543,50.60,415,42.07,271
2016-12-27,47.54,2301,41.27,1742,32.29,1217
2016-12-28,41.46,2581,34.33,2036,25.58,1517
2016-12-29,40.65,2571,33.15,1973,25.07,1524
2016-12-30,43.19,2232,34.79,1693,25.06,1249
2016-12-31,53.79,541,46.39,388,33.59,256
2017-01-01,48.46,324,41.63,233,31.45,159
2017-01-02,50.89,729,45.95,555,36.39,371
2017-01-03,47.12,3058,40.16,2343,30.88,1687
2017-01-04,47.13,3382,39.98,2549,31.06,1777
2017-01-05,48.09,3213,41.96,2443,31.65,1668
2017-01-06,46.90,3015,40.12,2278,30.09,1605
2017-01-07,53.08,699,48.92,507,44.01,359
2017-01-08,51.54,487,47.71,371,43.72,247
2017-01-09,48.16,3009,40.83,2224,31.23,1569
2017-01-10,47.78,3340,40.76,2517,30.84,1741
2017-01-11,47.60,3393,41.27,2515,31.69,1729
2017-01-12,46.41,3344,39.80,2558,29.85,1762
2017-01-13,50.99,2836,45.25,2159,35.92,1506
2017-01-14,54.48,659,49.60,504,38.92,334
2017-01-15,59.08,413,57.14,315,51.60,219
2017-01-16,54.02,920,48.40,686,40.47,472
2017-01-17,46.58,3016,40.55,2313,30.85,1595
2017-01-18,49.34,3192,43.47,2427,33.23,1694
2017-01-19,50.90,3289,45.37,2482,36.49,1666
2017-01-20,48.53,2957,42.56,2277,33.87,1606
2017-01-21,55.37,643,50.42,472,42.86,336
2017-01-22,60.61,457,56.94,346,49.79,241
2017-01-23,49.77,3225,43.77,2431,35.52,1689
2017-01-24,54.43,3676,50.29,2752,42.40,1887
2017-01-25,56.39,3910,52.67,2943,45.45,1976
2017-01-26,55.34,3874,50.81,2848,43.73,1914
2017-01-27,51.07,3121,44.91,2376,35.89,1680
2017-01-28,49.57,696,43.89,524,35.95,370
2017-01-29,53.32,467,48.86,350,43.33,240
2017-01-30,47.30,3150,41.90,2396,32.07,1640
2017-01-31,52.88,3865,46.86,2836,38.12,1920
2017-02-01,51.38,4027,46.14,3041,36.79,2071
2017-02-02,46.25,2735,40.96,2129,32.63,1526
2017-02-03,49.94,2453,44.58,1853,35.84,1314
2017-02-04,58.66,716,54.09,538,49.09,385
2017-02-05,57.94,535,52.54,413,45.64,287
2017-02-06,49.53,2120,45.39,1659,37.79,1212
2017-02-07,49.96,2778,44.94,2192,36.60,1582
2017-02-08,50.17,2962,45.00,2271,37.59,1620
2017-02-09,50.02,3045,45.12,2365,37.28,1714
2017-02-10,49.76,2918,43.23,2202,33.79,1589
2017-02-11,55.94,690,51.80,529,45.26,369
2017-02-12,56.74,564,52.93,427,43.27,275
2017-02-13,50.05,2823,44.05,2193,35.90,1596
2017-02-14,49.74,3235,42.67,2435,32.84,1745
2017-02-15,50.34,3399,45.04,2629,38.35,1935
2017-02-16,47.66,3271,41.93,2466,32.67,1760
2017-02-17,51.98,2924,46.73,2249,38.81,1608
2017-02-18,52.85,736,49.00,551,42.78,395
2017-02-19,59.14,717,55.88,553,46.17,379
2017-02-20,57.14,924,51.01,692,44.49,481
2017-02-21,52.46,3052,47.83,2354,40.69,1681
2017-02-22,49.32,3293,42.23,2529,32.10,1838
