Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,61.86,97,69.44,72,63.16,57
2016-11-02,66.03,156,68.94,132,68.22,107
2016-11-03,63.70,135,73.58,106,72.41,87
2016-11-04,50.00,24,73.33,15,72.73,11
2016-11-05,68.75,48,67.50,40,58.06,31
2016-11-06,73.91,46,82.05,39,80.00,30
2016-11-07,68.99,158,73.77,122,73.79,103
2016-11-08,66.67,132,73.79,103,69.23,78
2016-11-09,66.30,181,73.05,141,70.54,112
2016-11-10,63.06,222,73.81,168,72.18,133
2016-11-11,69.59,148,79.20,125,77.14,105
2016-11-12,57.30,89,67.16,67,65.57,61
2016-11-13,68.60,86,72.97,74,71.67,60
2016-11-14,73.24,213,76.63,184,77.07,157
2016-11-15,67.57,222,74.44,180,75.00,152
2016-11-16,62.89,159,77.69,121,74.47,94
2016-11-17,56.00,25,68.42,19,62.50,16
2016-11-18,70.31,229,80.00,180,79.59,147
2016-11-19,68.50,127,80.61,98,81.33,75
2016-11-20,67.78,90,77.03,74,81.97,61
2016-11-21,72.86,280,77.25,233,75.14,177
2016-11-22,62.30,61,70.00,50,68.89,45
2016-11-23,65.58,215,73.14,175,71.83,142
2016-11-24,69.46,167,77.78,135,78.26,115
2016-11-25,67.18,195,77.03,148,77.31,119
2016-11-26,69.57,115,77.00,100,82.05,78
2016-11-27,58.97,78,65.62,64,68.63,51
2016-11-28,61.43,223,70.00,170,69.57,138
2016-11-29,63.86,202,70.97,155,67.20,125
2016-11-30,61.23,276,71.50,207,70.76,171
2016-12-01,67.68,263,75.48,208,74.14,174
2016-12-02,69.60,329,79.47,263,78.18,220
2016-12-03,65.67,201,72.35,170,75.54,139
2016-12-04,70.76,171,75.84,149,77.95,127
2016-12-05,73.96,338,77.14,280,79.31,232
2016-12-06,71.43,378,75.24,311,76.14,264
2016-12-07,70.29,138,78.38,111,77.66,94
2016-12-08,74.42,387,80.86,324,81.45,275
2016-12-09,67.93,368,74.51,306,76.83,259
2016-12-10,70.83,216,76.22,185,77.55,147
2016-12-11,65.12,129,70.91,110,73.20,97
2016-12-12,66.05,430,73.41,361,72.49,309
2016-12-13,63.66,399,70.52,329,70.50,278
2016-12-14,65.10,447,73.67,357,73.20,306
2016-12-15,74.11,394,80.56,324,79.79,292
2016-12-16,69.23,286,72.65,245,73.60,197
2016-12-17,71.14,201,74.58,177,77.70,148
2016-12-18,78.57,238,82.44,205,83.73,166
2016-12-19,64.36,101,72.84,81,73.13,67
2016-12-20,66.01,406,72.64,329,73.12,279
2016-12-21,67.58,330,77.43,257,78.90,218
2016-12-22,65.59,465,71.87,391,70.59,323
2016-12-23,65.58,337,74.45,274,74.68,233
2016-12-24,65.22,299,72.47,247,74.40,207
2016-12-25,70.27,148,78.57,126,78.70,108
2016-12-26,71.43,273,77.09,227,77.60,183
2016-12-27,59.18,49,64.71,34,62.07,29
2016-12-28,68.29,451,74.86,370,74.03,308
2016-12-29,63.88,227,69.43,193,71.78,163
2016-12-30,69.80,351,75.86,290,77.33,247
2016-12-31,69.10,233,73.87,199,73.49,166
2017-01-01,67.20,250,75.50,200,78.09,178
2017-01-02,70.53,302,76.06,259,75.36,207
2017-01-03,62.38,311,68.72,243,68.02,197
2017-01-04,68.15,270,75.37,203,73.68,171
2017-01-05,70.00,260,77.99,209,79.55,176
2017-01-06,69.85,335,75.38,264,77.53,227
2017-01-07,70.03,307,77.55,245,80.10,206
2017-01-08,65.88,255,71.84,206,75.29,174
2017-01-09,61.17,273,65.93,226,69.79,192
2017-01-10,63.43,309,69.32,251,69.23,208
2017-01-11,63.95,319,70.75,253,71.01,207
2017-01-12,61.51,291,67.93,237,68.32,202
2017-01-13,67.40,273,76.06,213,76.33,169
2017-01-14,69.28,306,73.77,244,75.14,185
2017-01-15,68.15,248,70.53,207,68.99,158
2017-01-16,65.32,346,69.96,283,70.00,240
2017-01-17,66.25,323,73.31,251,73.33,195
2017-01-18,69.33,300,73.83,256,74.63,205
2017-01-19,69.13,311,74.62,260,70.95,210
2017-01-20,72.78,327,75.90,278,73.66,224
2017-01-21,70.55,292,74.89,235,75.37,203
2017-01-22,69.10,288,75.63,238,73.96,192
2017-01-23,66.67,297,70.04,247,68.45,206
2017-01-24,62.77,274,68.16,223,69.02,184
2017-01-25,69.71,274,75.88,228,75.56,180
2017-01-26,67.43,307,69.85,272,70.48,227
2017-01-27,62.08,298,63.81,257,60.00,210
2017-01-28,62.06,427,67.94,340,65.47,278
2017-01-29,61.23,325,69.17,253,71.14,201
2017-01-30,62.40,367,66.45,301,68.80,250
2017-01-31,64.24,439,73.14,350,76.14,285
2017-02-01,66.74,427,73.90,341,76.70,279
2017-02-02,66.44,292,74.35,230,77.95,195
2017-02-03,74.77,321,77.10,262,82.57,218
