Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,59.29,651,60.00,585,59.56,497
2016-11-02,56.06,660,57.36,591,55.24,487
2016-11-03,57.37,692,57.55,603,59.03,515
2016-11-04,51.29,1127,51.55,997,45.14,771
2016-11-05,51.91,915,51.98,810,50.45,668
2016-11-06,55.79,1900,58.04,1647,53.80,1301
2016-11-07,53.94,723,55.02,638,53.42,511
2016-11-08,42.19,1159,41.51,1036,41.62,877
2016-11-09,52.15,932,52.47,810,53.63,675
2016-11-10,60.39,616,59.46,560,58.47,472
2016-11-11,56.66,646,57.04,568,57.24,463
2016-11-12,58.14,633,58.22,572,58.54,480
2016-11-13,53.93,699,53.77,610,53.07,505
2016-11-14,63.95,466,63.46,405,63.36,333
2016-11-15,58.18,715,58.33,624,57.46,503
2016-11-16,57.48,802,58.27,738,57.83,607
2016-11-17,53.39,575,53.44,524,53.64,440
2016-11-18,52.57,584,54.10,525,54.06,431
2016-11-19,59.87,593,59.55,529,59.12,433
2016-11-20,56.73,691,57.00,593,57.00,493
2016-11-21,57.12,611,56.51,545,55.60,455
2016-11-22,60.26,614,61.52,564,61.89,475
2016-11-23,58.35,569,58.64,515,59.54,435
2016-11-24,62.73,711,63.57,656,63.57,571
2016-11-25,58.21,627,58.93,560,58.87,479
2016-11-26,57.34,640,57.82,569,58.19,476
2016-11-27,54.29,617,54.40,546,54.52,431
2016-11-28,54.58,524,54.96,464,54.62,390
2016-11-29,56.91,564,57.11,506,55.42,424
2016-11-30,54.04,544,53.83,483,53.60,403
2016-12-01,58.00,531,56.96,474,58.27,393
2016-12-02,51.05,574,49.90,507,50.24,416
2016-12-03,54.83,580,54.96,524,55.07,414
2016-12-04,54.67,653,55.17,580,54.04,483
2016-12-05,52.82,515,53.81,459,54.73,391
2016-12-06,51.12,493,51.83,438,49.12,342
2016-12-07,54.23,745,53.82,654,52.89,537
2016-12-08,58.43,522,55.92,431,54.60,359
2016-12-09,48.65,444,47.09,395,47.04,321
2016-12-10,52.54,571,51.78,506,51.23,408
2016-12-11,58.23,553,56.09,476,54.91,397
2016-12-12,58.85,435,58.70,385,58.97,312
2016-12-13,58.00,581,51.75,456,51.34,372
2016-12-14,54.20,1083,55.33,835,56.59,668
2016-12-15,54.82,1171,57.88,876,58.11,666
2016-12-16,64.69,2645,71.92,2055,77.02,1649
2016-12-17,43.77,1019,42.47,857,41.13,693
2016-12-18,70.76,1936,75.39,1682,79.44,1435
2016-12-19,65.92,939,69.63,820,72.96,699
2016-12-20,52.98,436,50.32,312,52.19,228
2016-12-21,55.24,143,57.14,126,55.91,93
2016-12-22,67.97,153,69.05,126,72.48,109
2016-12-23,69.51,164,74.15,147,75.78,128
2016-12-24,70.53,1320,74.35,1150,76.56,1041
2016-12-25,65.59,401,67.89,355,68.35,297
2016-12-26,56.20,121,57.80,109,57.78,90
2016-12-27,71.13,1060,74.08,949,74.08,764
2016-12-28,70.13,1396,73.06,1225,76.94,980
2016-12-29,69.21,1348,71.37,1198,73.38,958
2016-12-30,71.09,1712,72.88,1567,75.70,1251
2016-12-31,70.33,1446,71.82,1299,75.12,1049
2017-01-01,72.91,1580,75.44,1413,78.45,1123
2017-01-02,69.33,1275,71.25,1141,74.33,896
2017-01-03,57.09,543,57.76,490,55.69,404
2017-01-04,64.94,713,65.75,619,67.91,511
2017-01-05,58.68,559,56.22,466,57.76,393
2017-01-06,63.55,513,62.28,448,62.70,378
2017-01-07,60.08,476,58.78,410,57.93,328
2017-01-08,57.47,482,57.01,428,56.69,344
2017-01-09,66.28,869,66.97,781,68.39,639
2017-01-10,67.56,1002,69.87,896,70.56,720
2017-01-11,57.37,380,57.73,343,57.61,276
2017-01-12,50.76,459,50.60,415,53.61,332
2017-01-13,61.42,394,62.57,350,62.95,278
2017-01-14,57.78,514,57.84,453,57.41,378
2017-01-15,56.83,600,57.87,527,56.17,413
2017-01-16,64.05,509,65.68,440,65.82,354
2017-01-17,58.06,527,58.39,471,56.18,372
2017-01-18,56.70,552,57.06,496,58.97,407
2017-01-19,65.53,499,66.59,449,65.07,355
2017-01-20,62.20,619,63.93,549,67.04,446
2017-01-21,78.38,9470,80.30,8464,83.40,7122
2017-01-22,83.91,9832,86.70,8987,89.10,7843
2017-01-23,65.40,15057,66.51,13080,69.13,10716
2017-01-24,76.98,13889,82.28,12034,86.56,10354
2017-01-25,81.76,11882,84.51,10837,87.32,9457
2017-01-26,77.60,12351,82.19,11212,89.07,9517
2017-01-27,81.01,3391,84.95,3084,87.62,2650
2017-01-28,81.01,3391,84.95,3084,87.62,2650
2017-01-29,81.01,3391,84.95,3084,87.62,2650
2017-01-30,74.13,15253,78.54,13534,81.51,11642
2017-01-31,78.23,17324,81.73,15526,85.37,13313
2017-02-01,79.42,20000,81.40,18112,82.60,15019
2017-02-02,85.17,20000,87.18,18734,89.49,16523
2017-02-03,84.19,20000,87.19,18459,89.73,16292
2017-02-04,79.96,17327,82.63,15797,89.58,13279
2017-02-05,81.66,14447,84.18,13362,87.26,11353
2017-02-06,82.49,18828,85.87,16822,87.77,13660
2017-02-07,79.82,19839,82.23,18118,85.19,15112
2017-02-08,75.33,20000,79.47,17363,82.55,13526
2017-02-09,72.03,20000,75.33,17531,80.67,14490
2017-02-10,78.78,20000,80.26,17350,83.10,14913
2017-02-11,79.82,16022,82.54,14414,85.73,12354
2017-02-12,82.98,15470,85.52,14160,88.48,11821
2017-02-13,83.11,20000,86.35,17958,88.55,15435
2017-02-14,85.80,20000,89.13,18399,91.07,15705
2017-02-15,83.02,20000,87.16,18325,89.84,16284
2017-02-16,84.60,20000,87.12,17579,89.64,15622
2017-02-17,78.21,20000,83.85,17293,88.13,14267
2017-02-18,83.84,19895,86.49,18018,88.69,15214
2017-02-19,82.11,13888,85.59,12629,88.58,11069
2017-02-20,77.78,20000,80.14,18346,83.65,16165
2017-02-21,77.95,20000,81.66,18180,85.11,15890
2017-02-22,81.45,20000,84.34,18437,86.58,16172
2017-02-23,83.40,20000,87.48,18417,89.89,15893
2017-02-24,87.58,20000,89.78,18830,91.77,16753
2017-02-25,84.04,17319,87.08,15947,89.16,14045
2017-02-26,87.09,20000,88.47,18211,91.20,16378
2017-02-27,89.03,20000,90.92,18404,92.85,16990
2017-02-28,86.24,20000,89.55,18478,91.79,15601
2017-03-01,85.18,20000,87.89,18703,91.37,16365
2017-03-02,81.34,20000,84.02,18483,85.74,16637
2017-03-03,83.41,20000,85.46,18723,87.50,16926
2017-03-04,79.72,17656,81.38,16612,85.67,14506
2017-03-05,78.71,16511,80.61,15435,82.53,13564
2017-03-06,84.63,20000,86.13,18634,88.19,16870
2017-03-07,81.06,20000,81.74,18043,87.54,15506
2017-03-08,77.61,20000,86.38,16973,88.90,14160
2017-03-09,76.04,20000,78.65,18125,85.72,14828
2017-03-10,68.15,20000,69.99,18223,87.85,13438
2017-03-11,74.48,18424,77.43,16566,83.87,13807
2017-03-12,79.89,16209,81.81,15028,85.06,13210
2017-03-13,78.19,20000,80.58,18315,86.26,15154
2017-03-14,79.34,20000,81.43,18437,86.05,15572
2017-03-15,81.33,20000,82.98,18759,85.20,16427
2017-03-16,85.75,20000,87.89,17998,89.69,15348
2017-03-17,88.07,20000,90.15,18720,92.35,16581
2017-03-18,87.12,18289,89.14,17279,91.16,15509
2017-03-19,92.36,20000,93.51,19460,94.66,17448
2017-03-20,88.85,20000,90.97,18319,92.57,16439
2017-03-21,84.09,20000,86.86,17933,89.47,15486
2017-03-22,86.37,20000,90.52,17985,92.96,15194
2017-03-23,82.50,20000,86.54,17887,90.60,15203
2017-03-24,83.93,20000,86.14,18444,89.01,16110
2017-03-25,80.80,19549,84.39,17754,85.61,14019
2017-03-26,81.43,16175,84.02,14690,85.94,12176
2017-03-27,81.34,20000,83.77,18229,86.58,16090
2017-03-28,81.02,20000,82.63,18588,85.55,16428
2017-03-29,79.20,16098,81.42,14925,82.08,13368
2017-03-30,85.73,15448,88.71,14257,90.76,13192
2017-03-31,88.50,14603,91.20,13693,93.04,12593
2017-04-01,83.77,20000,85.69,18811,86.33,17007
2017-04-02,85.06,20000,87.10,18866,89.63,16918
2017-04-03,84.22,15294,86.27,14410,90.15,12960
2017-04-04,80.86,15279,83.72,14059,85.49,12218
2017-04-05,83.23,13549,85.27,12660,86.61,11480
2017-04-06,87.29,14553,88.48,13750,90.31,12578
2017-04-07,81.79,13874,86.14,12429,88.27,11204
2017-04-08,80.38,12374,82.11,11550,85.37,10176
2017-04-09,83.60,10532,85.53,9804,87.53,8700
2017-04-10,86.01,13062,89.02,12127,90.69,10699
2017-04-11,82.66,12284,84.94,11338,87.54,9777
2017-04-12,76.92,13802,78.07,12859,79.98,11561
2017-04-13,83.82,14980,85.99,14085,86.25,12803
2017-04-14,85.45,12974,87.64,12285,89.78,11145
2017-04-15,84.42,10813,85.89,10305,87.74,9152
2017-04-16,94.18,15210,95.07,14842,96.15,14212
2017-04-17,82.69,15283,83.36,14604,88.85,12940
2017-04-18,76.65,16066,83.41,14047,89.04,12212
2017-04-19,86.23,14914,88.69,13992,91.06,11684
2017-04-20,86.79,14495,88.86,13593,89.96,11649
2017-04-21,88.50,15501,90.28,14480,91.67,13546
2017-04-22,90.97,14695,92.48,14103,93.41,13541
2017-04-23,93.18,16485,94.41,15929,94.92,14373
2017-04-24,89.60,16569,90.76,15533,92.83,13902
2017-04-25,91.94,15988,93.30,15030,94.75,13883
2017-04-26,91.71,16547,92.67,15803,95.36,14740
2017-04-27,87.72,16354,89.32,15555,92.94,14103
2017-04-28,81.87,15394,84.42,14229,89.50,12280
2017-04-29,81.14,13264,82.67,12477,84.15,11365
2017-04-30,90.34,14238,91.26,13565,93.15,12533
2017-05-01,84.24,12255,88.11,11275,91.78,9831
2017-05-02,83.69,12201,86.50,11249,88.87,9874
2017-05-03,83.06,11678,85.49,10804,88.87,9433
2017-05-04,85.34,12017,87.45,11209,90.58,9926
2017-05-05,85.68,12357,88.38,11524,90.21,10123
2017-05-06,86.34,10692,89.14,10006,91.48,8810
2017-05-07,84.08,9416,86.20,8762,87.59,7734
2017-05-08,85.97,9525,88.21,8692,90.54,7580
2017-05-09,83.35,11465,86.48,10512,90.65,8866
2017-05-10,84.87,11022,87.43,10191,90.12,8908
2017-05-11,83.26,9657,85.43,9012,87.07,7886
2017-05-12,83.77,11894,84.99,11207,85.81,10090
2017-05-13,85.43,10190,87.50,9507,89.32,8374
2017-05-14,84.30,9760,86.32,9177,88.66,8041
2017-05-15,84.51,10561,86.29,9790,89.28,8511
2017-05-16,80.18,11978,82.11,10841,84.01,9514
2017-05-17,82.61,10858,85.50,10078,88.17,8819
2017-05-18,83.41,11140,85.43,10441,86.58,9088
2017-05-19,83.78,10158,85.98,9514,87.79,8199
2017-05-20,84.47,9161,86.74,8560,89.41,7358
2017-05-21,84.29,8356,87.08,7773,88.94,6520
2017-05-22,87.51,9546,89.26,9035,90.61,7753
2017-05-23,84.59,10459,87.06,9712,89.06,8502
2017-05-24,82.97,10124,86.42,9166,88.96,7936
2017-05-25,84.11,10213,86.31,9474,88.03,8464
2017-05-26,83.29,7640,86.67,6990,89.25,6233
2017-05-27,82.15,8492,84.25,7836,86.82,6800
2017-05-28,88.60,12459,90.13,11881,91.86,10868
2017-05-29,87.81,12685,89.19,12041,91.32,10593
2017-05-30,86.89,13323,89.35,12212,90.71,9656
2017-05-31,75.07,13236,77.67,12110,79.30,10332
2017-06-01,85.35,12945,87.49,11883,89.70,10493
2017-06-02,84.25,11153,86.62,10328,90.10,9238
2017-06-03,83.87,10758,85.80,10003,88.49,8939
2017-06-04,81.67,8400,83.86,7726,86.44,6687
2017-06-05,82.41,11924,84.34,10878,86.47,9355
2017-06-06,81.86,10793,84.06,9852,86.81,8557
2017-06-07,80.18,11815,83.89,10581,85.87,9106
2017-06-08,83.12,11839,85.94,10926,88.26,9143
2017-06-09,84.61,12786,87.89,11725,89.25,9820
2017-06-10,84.26,10677,86.46,9922,88.78,8532
2017-06-11,89.17,13050,90.83,12415,92.47,10919
2017-06-12,86.13,13091,88.03,12251,89.83,10904
2017-06-13,85.96,12917,87.81,12125,89.39,10931
2017-06-14,85.50,12811,87.48,11998,89.58,10873
2017-06-15,82.16,12039,84.79,11143,86.48,10001
2017-06-16,83.89,12566,85.23,11326,87.50,9663
2017-06-17,82.94,10732,84.80,10049,88.31,8784
2017-06-18,81.59,8420,83.98,7765,86.48,6714
2017-06-19,79.89,11918,82.35,11036,84.61,9776
2017-06-20,83.07,12421,84.86,11455,88.22,9935
2017-06-21,83.21,11907,86.59,10912,89.19,9646
