Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,66.18,5502,67.49,4897,66.73,3973
2016-11-02,64.95,7069,66.26,6358,65.89,5218
2016-11-03,63.67,5989,64.84,5313,64.55,4409
2016-11-04,67.29,7992,68.53,7102,68.30,5887
2016-11-05,68.93,9146,70.07,8243,70.02,6949
2016-11-06,69.00,9315,70.35,8378,70.85,7129
2016-11-07,65.56,5862,66.97,5280,67.20,4469
2016-11-08,67.53,8025,69.06,7189,69.56,6133
2016-11-09,67.42,7099,68.53,6358,68.73,5337
2016-11-10,69.19,9979,70.70,8965,70.98,7529
2016-11-11,67.48,8822,68.42,7942,68.75,6743
2016-11-12,69.44,9257,70.96,8316,71.00,7001
2016-11-13,69.93,9950,71.19,9017,70.73,7399
2016-11-14,66.20,6891,67.73,6182,67.80,5134
2016-11-15,65.45,6937,66.47,6228,66.04,5227
2016-11-16,68.17,2149,70.27,1907,70.16,1622
2016-11-17,65.73,3537,67.23,3137,66.68,2614
2016-11-18,65.61,5650,66.82,5006,66.64,4209
2016-11-19,67.22,8839,68.54,7896,68.27,6578
2016-11-20,68.01,7913,69.14,7081,69.06,5889
2016-11-21,67.81,1283,69.05,1147,68.82,959
2016-11-22,66.18,1913,67.86,1705,67.31,1450
2016-11-23,65.84,6271,66.90,5599,67.25,4703
2016-11-24,68.32,8628,69.50,7745,69.42,6536
2016-11-25,65.95,8089,67.52,7291,67.93,6189
2016-11-26,67.01,9278,68.17,8252,66.94,6606
2016-11-27,66.21,8576,67.24,7567,67.15,6329
2016-11-28,64.07,5285,65.10,4690,64.11,3873
2016-11-29,64.28,7721,65.52,6871,65.67,5875
2016-11-30,69.08,5149,71.27,4623,70.59,3794
2016-12-01,69.45,5575,70.86,4966,70.45,4129
2016-12-02,68.97,7206,70.16,6524,70.03,5326
2016-12-03,67.37,9887,68.84,8891,68.56,7401
2016-12-04,68.54,4904,69.93,4427,70.29,3686
2016-12-05,66.96,1725,68.52,1544,67.45,1284
2016-12-06,66.38,1755,67.87,1547,66.72,1313
2016-12-07,65.90,4936,67.40,4347,66.89,3606
2016-12-08,65.92,5414,67.50,4827,67.16,3977
2016-12-09,70.35,5854,72.00,5258,72.94,4372
2016-12-10,68.12,9479,69.45,8515,70.08,7106
2016-12-11,67.67,7748,69.33,6929,69.45,5798
2016-12-12,67.06,5051,68.24,4527,67.68,3732
2016-12-13,65.71,5807,66.86,5193,65.88,4273
2016-12-14,67.39,5100,68.23,4548,67.88,3761
2016-12-15,66.12,3214,67.35,2864,67.43,2346
2016-12-16,67.81,6558,69.33,5842,69.18,4870
2016-12-17,68.57,8164,70.49,7326,70.58,6122
2016-12-18,69.99,8897,71.59,8028,70.92,6576
2016-12-19,67.65,9486,68.78,8485,68.98,7086
2016-12-20,66.55,9244,67.59,8308,67.16,6937
2016-12-21,66.68,5760,67.98,5135,67.63,4189
2016-12-22,66.77,9170,67.72,8232,67.27,6801
2016-12-23,66.99,5516,67.98,4938,67.99,4142
2016-12-24,66.73,8861,67.80,7928,67.59,6603
2016-12-25,69.62,9219,70.97,8325,70.94,6948
2016-12-26,69.91,2655,71.53,2399,71.99,2010
2016-12-27,69.88,2281,70.74,2040,70.65,1697
2016-12-28,68.75,6463,70.15,5846,69.74,4815
2016-12-29,67.79,7789,69.28,6902,69.70,5756
2016-12-30,67.25,7720,68.44,6949,67.66,5692
2016-12-31,69.90,7019,71.20,6243,72.04,5344
2017-01-01,72.05,10067,73.46,9125,74.54,7894
2017-01-02,69.64,9570,71.15,8620,71.60,7232
2017-01-03,70.42,7131,72.02,6409,71.94,5267
2017-01-04,67.60,7842,68.82,7036,68.45,5866
2017-01-05,66.59,5289,67.93,4709,67.79,3983
2017-01-06,67.18,5210,68.84,4605,68.18,3743
2017-01-07,68.87,7627,70.57,6819,70.89,5743
2017-01-08,66.21,1986,67.46,1770,67.32,1469
2017-01-09,65.66,4912,67.13,4356,65.74,3573
2017-01-10,64.62,4800,66.40,4256,66.32,3510
2017-01-11,66.29,5550,67.68,4976,67.36,4158
2017-01-12,63.63,5455,64.66,4779,64.50,3930
2017-01-13,54.61,7827,54.94,6696,53.42,5318
2017-01-14,61.67,8124,62.82,7050,61.36,5706
2017-01-15,63.32,7833,64.03,6961,61.89,5523
2017-01-16,62.92,9174,63.70,7885,62.86,6320
2017-01-17,61.85,2729,63.05,2422,61.52,1983
2017-01-18,63.38,2482,64.04,2147,63.51,1751
2017-01-19,62.35,6204,63.58,5437,62.63,4466
2017-01-20,63.97,4133,64.48,3657,64.30,3031
2017-01-21,75.49,16692,77.19,15059,78.45,13031
2017-01-22,56.39,15687,56.03,14632,55.21,13282
2017-01-23,71.24,16622,72.56,15159,73.87,13425
2017-01-24,81.48,16985,83.67,15660,84.81,13268
2017-01-25,68.09,17169,69.48,15793,66.95,12537
2017-01-26,75.29,16435,77.30,14936,78.52,12986
2017-01-27,79.04,6497,80.37,5859,81.64,5081
2017-01-28,79.04,6497,80.37,5859,81.64,5081
2017-01-29,79.04,6497,80.37,5859,81.64,5081
2017-01-30,78.71,20000,80.80,18137,81.81,16014
2017-01-31,76.66,19999,78.38,18514,79.54,15994
2017-02-01,80.99,20000,82.48,18633,82.67,15930
2017-02-02,86.34,20000,87.98,18912,88.49,16074
2017-02-03,81.23,20000,83.32,18185,84.88,15825
2017-02-04,80.82,19999,82.49,18286,83.37,15704
2017-02-05,80.36,20000,82.02,18361,82.86,16113
2017-02-06,80.74,20000,82.80,18357,84.93,16041
2017-02-07,91.12,20000,92.30,19158,93.17,17841
2017-02-08,75.55,20000,78.36,18132,79.37,16521
2017-02-09,77.87,20000,80.36,18403,81.46,16618
2017-02-10,76.60,20000,78.92,18253,80.92,15886
2017-02-11,79.77,20000,81.31,17925,83.23,15730
2017-02-12,76.83,20000,80.82,17779,83.09,15208
2017-02-13,81.62,19999,84.04,18309,84.73,14929
2017-02-14,82.20,19999,84.12,17812,85.01,15324
2017-02-15,83.88,20000,80.71,13834,82.15,11729
2017-02-16,83.75,20000,80.85,14225,81.91,12031
2017-02-17,80.79,20000,78.88,15062,81.62,12741
2017-02-18,82.66,20000,82.59,16492,84.48,14373
2017-02-19,84.87,20000,86.11,18277,87.81,16466
2017-02-20,88.59,20000,89.75,18937,91.25,17612
2017-02-21,84.34,20000,86.01,18714,87.46,16782
2017-02-22,80.32,20000,80.90,16944,82.85,15223
2017-02-23,89.55,20000,87.87,14207,89.90,12901
2017-02-24,79.31,20000,80.01,16946,86.06,14421
2017-02-25,83.83,20000,85.76,18325,87.81,16377
2017-02-26,90.18,20000,92.68,18710,93.30,17618
2017-02-27,83.07,20000,84.50,18400,85.60,16907
2017-02-28,82.27,20000,84.01,18440,85.56,16244
2017-03-01,79.92,20000,81.88,18465,82.78,16687
2017-03-02,87.22,20000,89.53,18667,90.87,17226
2017-03-03,82.34,20000,84.31,18423,86.53,16266
2017-03-04,81.69,20000,83.36,18106,84.22,15853
2017-03-05,79.25,20000,81.08,18087,81.89,15201
2017-03-06,82.65,20000,84.75,18268,86.18,16232
2017-03-07,70.70,19999,79.42,16913,80.08,15383
2017-03-08,71.39,20000,82.02,16017,83.29,14215
2017-03-09,82.02,20000,84.43,18160,85.60,16259
2017-03-10,81.44,20000,85.19,18138,86.83,16351
2017-03-11,78.34,20000,81.54,17628,82.65,15581
2017-03-12,76.45,20000,78.57,17603,79.22,15464
2017-03-13,76.48,19999,78.21,17728,80.02,15341
2017-03-14,81.03,20000,83.87,18237,85.57,15803
2017-03-15,82.99,20000,84.81,17911,86.82,15750
2017-03-16,80.47,20000,82.02,18171,84.17,15935
2017-03-17,79.90,20000,82.35,18513,83.84,16233
2017-03-18,73.37,20000,74.52,17961,75.18,16083
2017-03-19,74.58,20000,75.25,17917,75.87,15798
2017-03-20,78.81,20000,81.54,18331,84.27,16166
2017-03-21,73.72,20000,75.71,18472,75.95,16103
2017-03-22,66.97,20000,68.89,17685,70.47,14767
2017-03-23,56.04,20000,66.80,15111,70.79,12602
2017-03-24,60.16,20000,70.01,16038,73.52,13006
2017-03-25,70.69,20000,76.18,17414,78.41,14348
2017-03-26,51.14,20000,55.08,16496,53.25,14673
2017-03-27,66.60,20000,71.84,15875,72.63,13651
2017-03-28,75.47,20000,77.41,18067,77.88,15360
2017-03-29,75.43,9552,77.22,8559,77.89,7434
2017-03-30,71.30,17025,72.76,15079,73.31,13308
2017-03-31,74.02,17070,75.78,15543,77.96,13256
2017-04-01,67.01,20000,66.29,17460,72.36,14126
2017-04-02,71.39,20000,73.31,18030,75.95,15094
2017-04-03,72.24,17040,73.79,15225,75.68,13033
2017-04-04,75.38,16583,71.69,12061,72.69,10439
2017-04-05,76.08,15892,71.55,11444,71.68,9611
2017-04-06,65.87,17024,66.85,14964,72.70,12170
2017-04-07,74.20,17196,74.36,15228,76.18,13107
2017-04-08,74.02,17039,74.41,15013,77.46,12882
2017-04-09,69.39,16414,69.66,14589,69.60,12426
2017-04-10,76.68,16930,78.48,15499,79.12,13321
2017-04-11,81.32,16689,83.40,15044,84.82,13316
2017-04-12,74.90,16648,76.86,15251,77.74,12949
2017-04-13,84.22,16395,85.44,15366,87.32,14265
2017-04-14,76.14,16668,77.06,15870,77.72,14518
2017-04-15,76.07,17028,76.86,15649,79.20,13431
2017-04-16,77.78,16981,76.81,14180,77.24,12384
2017-04-17,71.75,16256,74.76,14118,76.59,12398
2017-04-18,70.64,17109,71.51,15344,80.07,12208
2017-04-19,75.58,17251,77.36,15702,80.64,13409
2017-04-20,73.27,17058,74.26,15766,74.70,14283
2017-04-21,82.24,17058,83.59,15952,84.94,14280
2017-04-22,70.98,16814,70.47,15011,71.64,13359
2017-04-23,74.78,16356,75.69,14436,76.59,12683
2017-04-24,80.34,16245,81.78,14940,83.63,13191
2017-04-25,78.52,16691,80.40,15182,81.61,12859
2017-04-26,72.64,17221,75.46,14852,77.35,12807
2017-04-27,78.17,17308,78.41,14819,80.05,13072
2017-04-28,79.39,16924,80.67,14866,82.08,12778
2017-04-29,61.91,16325,60.83,14954,82.68,9306
2017-04-30,55.45,16986,54.41,15482,77.75,9121
2017-05-01,74.95,10219,76.39,9104,77.91,7709
2017-05-02,74.04,9541,76.13,8587,77.60,7219
2017-05-03,73.32,10614,75.75,9451,77.57,7700
2017-05-04,72.17,4546,74.20,4081,76.45,3372
2017-05-05,74.99,10448,76.81,9383,78.16,7857
2017-05-06,72.88,11276,74.39,10085,75.60,8350
2017-05-07,71.14,10505,72.86,9409,74.02,7829
2017-05-08,71.54,9526,72.92,8577,74.40,7258
2017-05-09,73.85,8381,75.73,7537,77.04,6337
2017-05-10,75.21,9807,76.97,8883,77.49,7238
2017-05-11,76.28,6755,78.33,6134,79.98,5244
2017-05-12,74.17,9927,75.82,9017,77.06,7652
2017-05-13,73.57,10016,75.23,9068,77.20,7693
2017-05-14,74.21,10728,75.62,9689,76.67,8243
2017-05-15,72.46,8650,74.07,7780,75.12,6644
2017-05-16,74.73,8626,76.39,7802,76.86,6486
2017-05-17,71.70,9123,74.02,8146,75.59,6969
2017-05-18,77.87,9213,79.58,8321,80.88,7156
2017-05-19,76.18,9622,78.37,8698,79.36,7427
2017-05-20,74.81,9049,76.60,8115,77.70,6858
2017-05-21,74.11,10844,75.74,9811,77.32,8285
2017-05-22,78.08,7674,80.22,7034,82.28,6180
2017-05-23,78.04,9132,80.16,8273,81.72,7100
2017-05-24,80.23,8961,81.89,8229,83.33,7212
2017-05-25,71.28,8203,73.22,7337,74.24,6191
2017-05-26,73.32,8701,75.84,7756,77.31,6606
2017-05-27,75.34,10048,77.10,9067,78.49,7698
2017-05-28,74.89,6452,76.44,5921,77.11,4989
2017-05-29,74.43,7275,76.32,6567,77.66,5630
