Date,Sent0.6,Tot0.6,Sent0.8,Tot0.8,Sent1.0,Tot1.0
2016-11-01,61.04,598,61.36,528,61.82,440
2016-11-02,69.05,685,70.30,606,72.31,520
2016-11-03,71.16,683,73.00,600,73.37,537
2016-11-04,64.30,675,64.48,611,65.71,522
2016-11-05,64.74,485,65.35,404,65.88,337
2016-11-06,58.41,464,58.31,403,58.65,341
2016-11-07,59.87,603,59.81,535,59.91,454
2016-11-08,60.13,622,59.96,552,63.56,450
2016-11-09,56.22,555,57.32,478,56.96,395
2016-11-10,53.85,442,52.82,373,54.60,315
2016-11-11,58.78,427,56.91,362,56.21,306
2016-11-12,57.95,371,58.75,320,58.33,276
2016-11-13,59.41,404,59.66,357,59.42,313
2016-11-14,60.35,459,60.10,406,60.65,338
2016-11-15,59.38,480,59.53,430,58.58,367
2016-11-16,61.34,463,61.60,401,61.52,330
2016-11-17,73.30,588,75.37,536,77.61,469
2016-11-18,61.89,475,61.43,420,61.13,337
2016-11-19,56.94,418,57.37,373,56.90,297
2016-11-20,56.00,450,56.35,394,56.89,334
2016-11-21,57.69,520,56.83,461,56.74,393
2016-11-22,57.54,252,57.33,225,57.61,184
2016-11-23,56.78,472,56.37,424,55.99,359
2016-11-24,58.89,433,56.25,352,57.09,289
2016-11-25,62.98,470,64.55,409,65.45,356
2016-11-26,60.87,483,60.14,429,59.35,369
2016-11-27,61.69,449,60.75,400,61.22,343
2016-11-28,63.69,526,63.94,477,64.93,422
2016-11-29,76.73,911,77.96,835,79.82,773
2016-11-30,77.57,816,78.94,755,81.56,678
2016-12-01,67.59,617,68.95,554,69.56,473
2016-12-02,57.30,452,60.42,384,59.13,323
2016-12-03,56.25,448,56.09,394,59.16,311
2016-12-04,59.96,462,62.20,410,63.27,343
2016-12-05,61.73,371,59.16,311,59.39,261
2016-12-06,58.27,417,59.41,372,60.67,328
2016-12-07,55.93,447,54.64,388,54.40,318
2016-12-08,55.48,438,53.61,388,52.37,317
2016-12-09,55.00,400,56.27,343,59.29,280
2016-12-10,61.97,355,62.70,311,63.06,268
2016-12-11,62.56,422,63.06,379,63.16,323
2016-12-12,58.90,438,57.34,368,56.77,303
2016-12-13,55.09,403,57.02,349,58.61,302
2016-12-14,61.24,485,60.43,422,61.17,358
2016-12-15,51.95,435,53.25,385,55.16,310
2016-12-16,57.75,445,57.93,397,58.55,345
2016-12-17,57.21,437,57.18,383,59.03,310
2016-12-18,62.19,402,60.74,349,62.93,294
2016-12-19,56.21,443,56.25,384,55.14,321
2016-12-20,54.61,456,52.14,397,48.49,332
2016-12-21,63.95,405,63.31,338,63.00,273
2016-12-22,57.86,515,58.43,445,58.81,386
2016-12-23,62.70,504,62.02,445,61.18,389
2016-12-24,59.34,455,59.45,397,61.20,317
2016-12-25,59.20,402,59.09,352,59.66,290
2016-12-26,59.19,419,61.68,368,63.16,304
2016-12-27,67.02,473,67.98,406,69.48,344
2016-12-28,58.77,519,58.72,470,59.41,404
2016-12-29,55.90,551,55.67,476,54.71,393
2016-12-30,56.73,550,55.92,490,55.85,410
2016-12-31,59.74,529,60.87,460,62.18,386
2017-01-01,61.46,493,61.52,434,65.03,346
2017-01-02,59.38,480,59.67,429,62.25,355
2017-01-03,59.08,567,59.88,496,59.51,410
2017-01-04,58.45,592,57.50,527,58.07,446
2017-01-05,62.39,553,62.47,485,64.01,414
2017-01-06,61.79,602,62.52,523,62.93,437
2017-01-07,56.03,473,55.82,421,57.02,349
2017-01-08,55.97,402,54.00,350,54.08,294
2017-01-09,58.86,474,58.00,419,58.06,360
2017-01-10,57.75,516,56.71,432,57.72,369
2017-01-11,59.85,548,61.08,465,60.21,387
2017-01-12,56.03,539,55.79,466,53.74,374
2017-01-13,59.54,566,59.60,495,60.64,409
2017-01-14,55.11,421,53.39,369,53.35,313
2017-01-15,56.88,480,56.22,418,55.59,340
2017-01-16,53.67,531,53.36,476,52.66,395
2017-01-17,55.36,578,55.30,481,55.64,399
2017-01-18,54.95,606,55.83,523,54.28,444
2017-01-19,40.90,467,39.34,422,38.10,378
2017-01-20,55.72,673,54.65,591,52.50,480
2017-01-21,77.04,16919,78.96,15939,79.11,14528
2017-01-22,68.35,11493,73.72,10040,74.40,9200
2017-01-23,74.61,11563,78.93,10217,81.23,9058
2017-01-24,80.23,9889,83.59,8977,85.25,7914
2017-01-25,68.16,8121,70.99,7248,72.48,6272
2017-01-26,72.00,9161,75.49,8058,78.68,6948
2017-01-27,89.13,4204,90.63,3853,91.70,3492
2017-01-28,89.13,4204,90.63,3853,91.70,3492
2017-01-29,89.13,4204,90.63,3853,91.70,3492
2017-01-30,78.56,20000,79.36,18860,81.19,16910
2017-01-31,74.75,16177,76.01,14812,77.54,12309
2017-02-01,73.69,20000,77.16,17875,79.11,14654
2017-02-02,64.43,14109,64.83,12316,66.49,9627
2017-02-03,70.24,10225,71.84,9350,73.22,7747
2017-02-04,79.21,9386,80.66,8673,81.69,7311
2017-02-05,76.55,8372,79.85,7570,82.85,6468
2017-02-06,82.68,10802,84.57,10019,87.20,8906
2017-02-07,89.51,19155,91.49,18161,92.75,15952
2017-02-08,79.98,16960,80.96,15494,82.57,13693
2017-02-09,84.26,16744,85.14,15513,86.78,13579
2017-02-10,80.55,13862,81.42,12369,83.52,11150
2017-02-11,82.66,10999,84.22,10295,85.95,9396
2017-02-12,77.50,7432,79.29,6678,81.25,5764
2017-02-13,79.01,10790,83.30,9562,85.45,8639
2017-02-14,78.55,9410,85.81,8089,86.63,6864
2017-02-15,89.30,13882,91.55,13025,91.25,9396
2017-02-16,86.57,20000,88.17,18889,84.76,12597
2017-02-17,82.68,11056,84.49,10244,84.35,8165
2017-02-18,59.99,9396,61.70,8713,79.13,5855
2017-02-19,78.06,7830,79.95,7257,84.37,6077
2017-02-20,78.86,6514,80.98,5752,84.31,4741
2017-02-21,75.12,7838,77.87,7114,80.56,6070
2017-02-22,76.55,20000,76.46,16820,80.40,14505
2017-02-23,75.74,20000,77.85,17574,82.23,14933
2017-02-24,79.27,14288,81.34,12825,82.56,11081
2017-02-25,76.40,13710,77.36,12945,84.05,11053
2017-02-26,79.31,7137,80.12,6383,81.12,5492
2017-02-27,78.71,9883,82.47,8629,84.21,7519
2017-02-28,73.57,12310,72.09,9688,77.09,7909
2017-03-01,75.65,9392,78.01,8108,82.02,6730
2017-03-02,81.21,12226,83.01,11252,84.51,9021
2017-03-03,67.36,5937,68.10,5432,67.02,4763
2017-03-04,77.24,9058,78.40,8027,77.72,6958
2017-03-05,82.56,2190,84.51,2033,84.85,1762
2017-03-06,78.82,8404,81.36,7597,83.31,6741
2017-03-07,74.31,7340,76.30,6549,77.26,5602
2017-03-08,76.55,8223,81.32,7349,83.39,6112
2017-03-09,73.86,11577,76.94,10461,79.79,8176
2017-03-10,82.33,20000,87.11,17803,88.57,15536
2017-03-11,83.91,8013,86.55,7248,90.74,6336
2017-03-12,77.60,9515,81.64,8495,83.61,7316
2017-03-13,75.54,10302,79.45,9057,81.21,7745
2017-03-14,78.05,14911,79.55,13684,81.13,11217
2017-03-15,79.55,15883,81.82,14154,89.07,11276
2017-03-16,77.68,13086,80.06,12000,83.27,9444
2017-03-17,78.85,13022,80.34,12186,85.60,10251
2017-03-18,70.80,7833,72.19,7338,76.27,6097
2017-03-19,77.78,9912,79.80,9263,83.72,8161
2017-03-20,65.63,10064,84.13,7321,87.83,6345
2017-03-21,78.22,7653,81.83,6900,85.55,5979
2017-03-22,78.69,8014,82.29,7141,85.57,6395
2017-03-23,79.14,6660,81.44,6125,85.12,5343
2017-03-24,85.88,16575,87.47,15692,89.56,14123
2017-03-25,83.66,12047,88.37,10980,91.55,10099
2017-03-26,80.38,7022,82.98,6397,85.47,5828
2017-03-27,81.27,9429,84.02,8655,87.31,7586
2017-03-28,80.29,19392,81.01,16211,82.91,12685
2017-03-29,80.98,15367,84.65,12776,86.19,10265
2017-03-30,84.22,14439,87.59,12638,87.13,8702
2017-03-31,78.85,9711,81.21,8962,82.40,7442
2017-04-01,78.79,7606,82.84,6935,85.08,6061
2017-04-02,83.59,9137,87.41,8390,88.20,7252
2017-04-03,77.46,17676,82.14,14918,85.85,12916
